"","Temp","Ni1size","Ni2size","Ni3size","Ni4size","Ni5size","Ni6size"
"34",3,-3.03375458772792,-3.03375458772792,-3.03375458772792,-3.03375458772792,-3.03375458772792,-3.03375458772792
"35",4,-3.06646072306688,-3.06646072306688,-3.06646072306688,-3.06646072306688,-3.06646072306688,-3.06646072306688
"36",5,-3.09287854804278,-3.09287854804278,-3.09287854804278,-3.09287854804278,-3.09287854804278,-3.09287854804278
"37",0,-2.67263836191447,-2.67263836191447,-2.67263836191447,-2.67263836191447,-2.67263836191447,-2.67263836191447
"38",1,-2.7639205586341,-2.7639205586341,-2.7639205586341,-2.7639205586341,-2.7639205586341,-2.7639205586341
"39",2,-2.82516696156397,-2.82516696156397,-2.82516696156397,-2.82516696156397,-2.82516696156397,-2.82516696156397
"40",3,-2.86480797626327,-2.86480797626327,-2.86480797626327,-2.86480797626327,-2.86480797626327,-2.86480797626327
"41",4,-2.88947246526523,-2.88947246526523,-2.88947246526523,-2.88947246526523,-2.88947246526523,-2.88947246526523
"42",5,-2.90414900912459,-2.90414900912459,-2.90414900912459,-2.90414900912459,-2.90414900912459,-2.90414900912459
"43",0,-2.39864997570276,-2.39864997570276,-2.39864997570276,-2.39864997570276,-2.39864997570276,-2.39864997570276
"44",1,-2.49775601634591,-2.49775601634591,-2.49775601634591,-2.49775601634591,-2.49775601634591,-2.49775601634591
"45",2,-2.55932916529389,-2.55932916529389,-2.55932916529389,-2.55932916529389,-2.55932916529389,-2.55932916529389
"46",3,-2.59069269242481,-2.59069269242481,-2.59069269242481,-2.59069269242481,-2.59069269242481,-2.59069269242481
"47",4,-2.59903822344842,-2.59903822344842,-2.59903822344842,-2.59903822344842,-2.59903822344842,-2.59903822344842
"48",5,-2.59093872580118,-2.59093872580118,-2.59093872580118,-2.59093872580118,-2.59093872580118,-2.59093872580118
"49",0,-3.43832399738732,-3.43832399738732,-3.43832399738732,-3.43832399738732,-3.43832399738732,-3.43832399738732
"50",1,-3.51670212067879,-3.51670212067879,-3.51670212067879,-3.51670212067879,-3.51670212067879,-3.51670212067879
"51",2,-3.57824166688269,-3.57824166688269,-3.57824166688269,-3.57824166688269,-3.57824166688269,-3.57824166688269
"52",3,-3.62824193110732,-3.62824193110732,-3.62824193110732,-3.62824193110732,-3.62824193110732,-3.62824193110732
"53",4,-3.67020627605944,-3.67020627605944,-3.67020627605944,-3.67020627605944,-3.67020627605944,-3.67020627605944
"54",5,-3.70642957136436,-3.70642957136436,-3.70642957136436,-3.70642957136436,-3.70642957136436,-3.70642957136436
"55",0,-2.85985000279761,-2.85985000279761,-2.85985000279761,-2.85985000279761,-2.85985000279761,-2.85985000279761
"56",1,-2.94350191048957,-2.94350191048957,-2.94350191048957,-2.94350191048957,-2.94350191048957,-2.94350191048957
"57",2,-3.00633307775881,-3.00633307775881,-3.00633307775881,-3.00633307775881,-3.00633307775881,-3.00633307775881
"58",3,-3.05504173263141,-3.05504173263141,-3.05504173263141,-3.05504173263141,-3.05504173263141,-3.05504173263141
"59",4,-3.09422347132927,-3.09422347132927,-3.09422347132927,-3.09422347132927,-3.09422347132927,-3.09422347132927
"60",5,-3.12694703170624,-3.12694703170624,-3.12694703170624,-3.12694703170624,-3.12694703170624,-3.12694703170624
"61",0,-2.67263836191447,-2.67263836191447,-2.67263836191447,-2.67263836191447,-2.67263836191447,-2.67263836191447
"62",1,-2.76643499523524,-2.76643499523524,-2.76643499523524,-2.76643499523524,-2.76643499523524,-2.76643499523524
"63",2,-2.83034077230666,-2.83034077230666,-2.83034077230666,-2.83034077230666,-2.83034077230666,-2.83034077230666
