"","tempvect","nichevect","Div","Pruned_Prot"
"372",5,-3.18959464796188,"5",6
"373",0,-3.03407575588705,"4",4
"374",1,-3.08901588714197,"4",4
"375",2,-3.13140745282679,"4",4
"376",3,-3.16480221223475,"4",4
"377",4,-3.1917167618433,"4",4
"378",5,-3.21390941657391,"4",4
"379",0,-3.05542233171018,"3",1
"380",1,-3.10990501334839,"3",1
"381",2,-3.15197896847052,"3",1
"382",3,-3.18517644175656,"3",1
"383",4,-3.21198530863001,"3",1
"384",5,-3.23413724289044,"3",1
"385",0,-3.06398586689884,"2",5
"386",1,-3.11824663109512,"2",5
"387",2,-3.16015804950004,"2",5
"388",3,-3.19324360392556,"2",5
"389",4,-3.21997921338882,"2",5
"390",5,-3.24208641596302,"2",5
"391",0,-3.06398586689884,"1",1
"392",1,-3.11824663109512,"1",1
"393",2,-3.16015804950004,"1",1
"394",3,-3.19324360392556,"1",1
"395",4,-3.21997921338882,"1",1
"396",5,-3.24208641596302,"1",1
"397",0,-3.72107044452473,"6",NA
"398",1,-3.77074203265107,"6",NA
"399",2,-3.80817594203247,"6",NA
"400",3,-3.83681605215066,"6",NA
"401",4,-3.85916496230582,"6",NA
"402",5,-3.87699776957773,"6",NA
"403",0,-3.76052276313564,"5",4
"404",1,-3.80969923078075,"5",4
"405",2,-3.84683832601186,"5",4
"406",3,-3.87537420996457,"5",4
"407",4,-3.8977672201499,"5",4
"408",5,-3.91575189675885,"5",4
"409",0,-3.79508899469067,"4",3
"410",1,-3.84374496592448,"4",3
"411",2,-3.8805580788317,"4",3
"412",3,-3.9089426679114,"4",3
"413",4,-3.93132184966636,"4",3
"414",5,-3.9493883203777,"4",3
"415",0,-3.8286223862098,"3",1
"416",1,-3.87672636977477,"3",1
"417",2,-3.9131902077073,"3",1
"418",3,-3.941403305874,"3",1
"419",4,-3.96374694287718,"3",1
"420",5,-3.98186997855338,"3",1
"421",0,-3.86287755927066,"2",5
"422",1,-3.91038623180807,"2",5
"423",2,-3.94647578485577,"2",5
"424",3,-3.97450004187795,"2",5
"425",4,-3.99679886518985,"2",5
"426",5,-4.01497118975199,"2",5
"427",0,-3.86287755927066,"1",5
"428",1,-3.91038623180807,"1",5
"429",2,-3.94647578485577,"1",5
"430",3,-3.97450004187795,"1",5
"431",4,-3.99679886518985,"1",5
"432",5,-4.01497118975199,"1",5
"433",0,-3.11008994755793,"6",NA
"434",1,-3.16339320388116,"6",NA
"435",2,-3.20407683374969,"6",NA
"436",3,-3.23567784211513,"6",NA
"437",4,-3.26074327209411,"6",NA
"438",5,-3.28108221227963,"6",NA
"439",0,-3.14372374179221,"5",5
"440",1,-3.19650287006299,"5",5
"441",2,-3.23684868093994,"5",5
"442",3,-3.26828077085057,"5",5
"443",4,-3.29331277547183,"5",5
"444",5,-3.31371256445334,"5",5
"445",0,-3.15461735780038,"4",2
"446",1,-3.20714872024026,"4",2
"447",2,-3.24731360689752,"4",2
"448",3,-3.27862456706273,"4",2
"449",4,-3.30358204909659,"4",2
"450",5,-3.32394101818342,"4",2
"451",0,-3.17527298272993,"3",4
"452",1,-3.22738962475312,"3",4
"453",2,-3.26726704690678,"3",4
"454",3,-3.2984028982672,"3",4
"455",4,-3.32327281135826,"3",4
"456",5,-3.34360312979556,"3",4
"457",0,-3.20876563207073,"2",3
"458",1,-3.26029540152821,"2",3
"459",2,-3.29979823750512,"2",3
"460",3,-3.33074224718832,"2",3
"461",4,-3.35555837099495,"2",3
"462",5,-3.37593157671027,"2",3
"463",0,-3.23166432462386,"1",1
"464",1,-3.28271371526477,"1",1
"465",2,-3.321891541028,"1",1
"466",3,-3.35263862680646,"1",1
"467",4,-3.3773603508743,"1",1
"468",5,-3.39770365824502,"1",1
"469",0,-3.86296314755021,"6",NA
"470",1,-3.91181817034084,"6",NA
"471",2,-3.9487913898129,"6",NA
"472",3,-3.97729940636047,"6",NA
"473",4,-3.99977329891156,"6",NA
"474",5,-4.01791362344267,"6",NA
"475",0,-3.87614745015752,"5",5
"476",1,-3.92471442720192,"5",5
"477",2,-3.96147976514653,"5",5
"478",3,-3.98985155060124,"5",5
"479",4,-4.01224469487021,"5",5
"480",5,-4.03034398800339,"5",5
"481",0,-3.89568932009199,"4",2
"482",1,-3.94385996200231,"4",2
