"","tempvect","minvect","maxvect","Div","MaxSeed","MinSeed","Pruned_Prot"
"2306",1,-3.31974037667337,-2.01130656456716,6,27649,921210,NA
"2307",2,-3.35725678721582,-2.06572636298683,6,27649,921210,NA
"2308",3,-3.38550153123643,-2.10638093325076,6,27649,921210,NA
"2309",4,-3.40705992061329,-2.1364627176804,6,27649,921210,NA
"2310",5,-3.42381123557644,-2.15878242884667,6,27649,921210,NA
"2311",0,-3.29086405354012,-1.99044434626272,5,27649,921210,4
"2312",1,-3.33996636573207,-2.0637678471806,5,27649,921210,4
"2313",2,-3.37642840014629,-2.11815216902981,5,27649,921210,4
"2314",3,-3.40371786443152,-2.15731336615599,5,27649,921210,4
"2315",4,-3.4244130643669,-2.1847544050959,5,27649,921210,4
"2316",5,-3.44038156834999,-2.20357424541742,5,27649,921210,4
"2317",0,-3.3117093268543,-2.02876086097694,4,27649,921210,3
"2318",1,-3.36029824027014,-2.10386032790722,4,27649,921210,3
"2319",2,-3.39633818953932,-2.15917158179629,4,27649,921210,3
"2320",3,-3.42330156361644,-2.19854986178438,4,27649,921210,3
"2321",4,-3.44375227740199,-2.22559139425924,4,27649,921210,3
"2322",5,-3.45954274841374,-2.24347440231855,4,27649,921210,3
"2323",0,-3.33604446955139,-2.07090841447335,3,27649,921210,2
"2324",1,-3.38449550717775,-2.14854231389239,3,27649,921210,2
"2325",2,-3.42050556215581,-2.20554448729842,3,27649,921210,2
"2326",3,-3.44754760330564,-2.24592183081458,3,27649,921210,2
"2327",4,-3.46816584977632,-2.27334460429168,3,27649,921210,2
"2328",5,-3.48418801199438,-2.29103607551582,3,27649,921210,2
"2329",0,-3.45947175662701,-2.13555456329792,2,27649,921210,6
"2330",1,-3.50862830954786,-2.22441531117092,2,27649,921210,6
"2331",2,-3.54596130262998,-2.29335196278895,2,27649,921210,6
"2332",3,-3.57489832907431,-2.34609957021922,2,27649,921210,6
"2333",4,-3.59785088805943,-2.38592574054912,2,27649,921210,6
"2334",5,-3.61649179596718,-2.41562448635154,2,27649,921210,6
"2335",0,-3.5063682188817,-1.99021713715101,1,27649,921210,1
"2336",1,-3.55492090496173,-2.0676289182434,1,27649,921210,1
"2337",2,-3.59195277471913,-2.13069352884618,1,27649,921210,1
"2338",3,-3.62084064430216,-2.18293414377235,1,27649,921210,1
"2339",4,-3.6439351142476,-2.22702277883362,1,27649,921210,1
"2340",5,-3.66283937605119,-2.26495250771263,1,27649,921210,1
"2341",0,-3.07088500661636,-2.12524747430522,6,803022,150823,NA
"2342",1,-3.12982505353538,-2.20996147942893,6,803022,150823,NA
"2343",2,-3.17513581931006,-2.2754782074216,6,803022,150823,NA
"2344",3,-3.21043882577701,-2.32540470130512,6,803022,150823,NA
"2345",4,-3.23843687032872,-2.36314972346847,6,803022,150823,NA
"2346",5,-3.26109687179849,-2.39172545704471,6,803022,150823,NA
"2347",0,-3.08288912317244,-2.13778006273932,5,803022,150823,4
"2348",1,-3.14159848790102,-2.22439090089616,5,803022,150823,4
"2349",2,-3.1867175924833,-2.290895549726,5,803022,150823,4
"2350",3,-3.22187141674646,-2.34107567426106,5,803022,150823,4
"2351",4,-3.24975786214268,-2.3784420734973,5,803022,150823,4
"2352",5,-3.27233644123906,-2.40608011965347,5,803022,150823,4
"2353",0,-3.09446287725503,-2.1336546064231,4,803022,150823,5
"2354",1,-3.15299685957772,-2.21928838362589,4,803022,150823,5
"2355",2,-3.1979927952815,-2.28415060791284,4,803022,150823,5
"2356",3,-3.23307683956065,-2.3322035900326,4,803022,150823,5
"2357",4,-3.2609386022145,-2.3670926675242,4,803022,150823,5
"2358",5,-3.28352633881103,-2.39201533148795,4,803022,150823,5
"2359",0,-3.06159768402342,-2.06843496274015,3,803022,150823,1
"2360",1,-3.11591491016161,-2.15260147247525,3,803022,150823,1
"2361",2,-3.15761876150416,-2.21617685307549,3,803022,150823,1
"2362",3,-3.19024279403617,-2.26308085508176,3,803022,150823,1
"2363",4,-3.21632379086996,-2.29684992071375,3,803022,150823,1
"2364",5,-3.23765594856364,-2.32056180723858,3,803022,150823,1
"2365",0,-3.01094808288425,-2.08153482505181,2,803022,150823,3
"2366",1,-3.06050958940224,-2.16607563945559,2,803022,150823,3
"2367",2,-3.09830690100742,-2.22968166718771,2,803022,150823,3
"2368",3,-3.12775238483365,-2.27628826873145,2,803022,150823,3
"2369",4,-3.15123971044937,-2.30942141176075,2,803022,150823,3
"2370",5,-3.1704256567356,-2.33215222233928,2,803022,150823,3
"2371",0,-3.03360775321933,-1.9553144397094,1,803022,150823,6
"2372",1,-3.082613892688,-2.03361935596748,1,803022,150823,6
"2373",2,-3.120022295448,-2.09730560490284,1,803022,150823,6
"2374",3,-3.14921729963837,-2.14990615999157,1,803022,150823,6
"2375",4,-3.17256377325537,-2.19411826922907,1,803022,150823,6
"2376",5,-3.19168044646871,-2.23197430711254,1,803022,150823,6
"2377",0,-2.35852262605118,-1.67523844476105,6,650269,815420,NA
"2378",1,-2.4266587416039,-1.74045916707296,6,650269,815420,NA
"2379",2,-2.48041246422236,-1.78948486714395,6,650269,815420,NA
"2380",3,-2.52351425341283,-1.82591176694979,6,650269,815420,NA
"2381",4,-2.55875007436072,-1.85312177565037,6,650269,815420,NA
"2382",5,-2.58815334366403,-1.87403284897911,6,650269,815420,NA
"2383",0,-2.35538083453729,-1.74199642101693,5,650269,815420,6
"2384",1,-2.42147941565251,-1.81175892331029,5,650269,815420,6
"2385",2,-2.4735327640604,-1.86231992469944,5,650269,815420,6
"2386",3,-2.51525755756608,-1.89770809064092,5,650269,815420,6
"2387",4,-2.54939149438425,-1.9217465004661,5,650269,815420,6
"2388",5,-2.57791022893232,-1.93781352500846,5,650269,815420,6
"2389",0,-2.37869290832728,-1.80074523424922,4,650269,815420,1
"2390",1,-2.4443939194528,-1.87498660002884,4,650269,815420,1
"2391",2,-2.49617775922685,-1.92860788809219,4,650269,815420,1
"2392",3,-2.53775854120371,-1.96583130198908,4,650269,815420,1
"2393",4,-2.57184638370602,-1.9906275829269,4,650269,815420,1
"2394",5,-2.60039518235801,-2.00651235367588,4,650269,815420,1
"2395",0,-2.34253462147597,-1.85997728708688,3,650269,815420,2
"2396",1,-2.40819871949864,-1.93847931314531,3,650269,815420,2
"2397",2,-2.46009703895862,-1.99522761916423,3,650269,815420,2
"2398",3,-2.5019135773988,-2.03457601400807,3,650269,815420,2
"2399",4,-2.53632911823137,-2.06058763835833,3,650269,815420,2
"2400",5,-2.5652722102201,-2.07686720667374,3,650269,815420,2
"2401",0,-2.30996371128091,-1.84515596594962,2,650269,815420,3
"2402",1,-2.37445219297005,-1.93129471827371,2,650269,815420,3
"2403",2,-2.42562328219118,-1.99635781425589,2,650269,815420,3
"2404",3,-2.46708805601514,-2.04428092221898,2,650269,815420,3
"2405",4,-2.50145024374794,-2.07862794460079,2,650269,815420,3
"2406",5,-2.53056120262791,-2.10252566080817,2,650269,815420,3
"2407",0,-2.31598951713459,-1.80767664863795,1,650269,815420,5
"2408",1,-2.37966965242205,-1.89772313502408,1,650269,815420,5
"2409",2,-2.43012641201147,-1.96808543297436,1,650269,815420,5
"2410",3,-2.47096378623167,-2.02205690576155,1,650269,815420,5
"2411",4,-2.5047709862501,-2.06251878946471,1,650269,815420,5
"2412",5,-2.53338456552826,-2.09197897905431,1,650269,815420,5
"2413",0,-4.61740063918821,-1.72685130959583,6,952584,33102,NA
"2414",1,-4.69743616899131,-1.79305176390136,6,952584,33102,NA
"2415",2,-4.76166622180175,-1.8421078566784,6,952584,33102,NA
"2416",3,-4.81408699157799,-1.87766592216804,6,952584,33102,NA
"2417",4,-4.85768669610103,-1.90318661444888,6,952584,33102,NA
"2418",5,-4.89465876783359,-1.92169848483891,6,952584,33102,NA
"2419",0,-4.41078396540649,-1.78089247192319,5,952584,33102,5
"2420",1,-4.48350702798682,-1.84859133913987,5,952584,33102,5
"2421",2,-4.5416432861602,-1.89699437775911,5,952584,33102,5
"2422",3,-4.58900996053611,-1.93013191671987,5,952584,33102,5
"2423",4,-4.62840704940517,-1.95183563513774,5,952584,33102,5
"2424",5,-4.66186926377221,-1.96550321373757,5,952584,33102,5
"2425",0,-4.43583734396394,-1.79495661306892,4,952584,33102,3
"2426",1,-4.50804635405184,-1.86922119005916,4,952584,33102,3
"2427",2,-4.56581577706632,-1.922519606578,4,952584,33102,3
"2428",3,-4.61295675408464,-1.95877456520661,4,952584,33102,3
"2429",4,-4.65224325383312,-1.98171548196203,4,952584,33102,3
"2430",5,-4.68567951992476,-1.99470899714986,4,952584,33102,3
"2431",0,-4.44851223745317,-1.8346285186085,3,952584,33102,4
"2432",1,-4.52015581566303,-1.91181110431108,3,952584,33102,4
"2433",2,-4.57745422433754,-1.96723705598656,3,952584,33102,4
"2434",3,-4.62420934998275,-2.00488510548288,3,952584,33102,4
"2435",4,-4.66318614676573,-2.02849681271287,3,952584,33102,4
"2436",5,-4.6963713420741,-2.04144979266276,3,952584,33102,4
"2437",0,-4.16943482939028,-1.86367978726577,2,952584,33102,2
"2438",1,-4.22152201642375,-1.94338912973645,2,952584,33102,2
"2439",2,-4.26148070629122,-2.00085866299599,2,952584,33102,2
"2440",3,-4.29281032627341,-2.04005424007125,2,952584,33102,2
"2441",4,-4.31796440593417,-2.06467657593601,2,952584,33102,2
"2442",5,-4.33862701421774,-2.07806982202215,2,952584,33102,2
"2443",0,-3.95968964604151,-1.81877870509636,1,952584,33102,1
"2444",1,-4.00659152156027,-1.90244445796228,1,952584,33102,1
"2445",2,-4.04224104503347,-1.9686813515819,1,952584,33102,1
"2446",3,-4.06996224412018,-2.02084778468776,1,952584,33102,1
"2447",4,-4.09205875066571,-2.06170845370854,1,952584,33102,1
"2448",5,-4.1101049079974,-2.09352645598352,1,952584,33102,1
"2449",0,-3.17220994627322,-1.9617592246335,6,78973,937110,NA
"2450",1,-3.23276003393179,-2.03000314146571,6,78973,937110,NA
"2451",2,-3.27901598940608,-2.08078305147018,6,78973,937110,NA
"2452",3,-3.31460639903226,-2.11762284150225,6,78973,937110,NA
"2453",4,-3.34232585237639,-2.14389787098242,6,78973,937110,NA
"2454",5,-3.3642707181363,-2.16259853797916,6,78973,937110,NA
"2455",0,-3.17901724832933,-2.07634729126974,5,78973,937110,4
"2456",1,-3.23933304891141,-2.15689761817309,5,78973,937110,4
"2457",2,-3.2853625737326,-2.21824700051566,5,78973,937110,4
"2458",3,-3.32073993825759,-2.26398504350655,5,78973,937110,4
"2459",4,-3.34826151123101,-2.29746819981031,5,78973,937110,4
"2460",5,-3.3700241218769,-2.32165933861191,5,78973,937110,4
"2461",0,-3.20358445317197,-2.09191784183634,4,78973,937110,3
"2462",1,-3.26321387703872,-2.17647454694018,4,78973,937110,3
"2463",2,-3.30855950625142,-2.24302550637398,4,78973,937110,3
"2464",3,-3.34327752141926,-2.29521521754303,4,78973,937110,3
"2465",4,-3.37017447037514,-2.33619491784175,4,78973,937110,3
"2466",5,-3.39135026310584,-2.36858136314187,4,78973,937110,3
"2467",0,-3.1591496221923,-2.0155856221339,3,78973,937110,2
"2468",1,-3.21053118250573,-2.09488301213688,3,78973,937110,2
"2469",2,-3.24974273291522,-2.15709610135768,3,78973,937110,2
"2470",3,-3.28025992560403,-2.20588515651497,3,78973,937110,2
"2471",4,-3.30455088348027,-2.24430144694444,3,78973,937110,2
"2472",5,-3.32434363342934,-2.27481174859656,3,78973,937110,2
"2473",0,-3.13428847055791,-1.95409378462,2,78973,937110,5
"2474",1,-3.18309793641241,-2.03015014281845,2,78973,937110,5
"2475",2,-3.22027275925342,-2.089936046748,2,78973,937110,5
"2476",3,-3.24920297503713,-2.13703111074106,2,78973,937110,5
"2477",4,-3.27225983353896,-2.17433222802348,2,78973,937110,5
"2478",5,-3.29108143188312,-2.20413923151597,2,78973,937110,5
"2479",0,-3.15496911146336,-1.99451377404297,1,78973,937110,1
"2480",1,-3.20332488595582,-2.07115049255254,1,78973,937110,1
"2481",2,-3.24018780191295,-2.13351863150659,1,78973,937110,1
"2482",3,-3.26892285532305,-2.18514286808489,1,78973,937110,1
"2483",4,-3.29187735708837,-2.22868997354355,1,78973,937110,1
"2484",5,-3.31065549068527,-2.26614432337003,1,78973,937110,1
"2485",0,-3.2694926763339,-1.93975572201131,6,27649,921210,NA
"2486",1,-3.31974037667337,-2.01130656456716,6,27649,921210,NA
"2487",2,-3.35725678721582,-2.06572636298683,6,27649,921210,NA
"2488",3,-3.38550153123643,-2.10638093325076,6,27649,921210,NA
"2489",4,-3.40705992061329,-2.1364627176804,6,27649,921210,NA
"2490",5,-3.42381123557644,-2.15878242884667,6,27649,921210,NA
"2491",0,-3.29086405354012,-1.99044434626272,5,27649,921210,4
"2492",1,-3.33996636573207,-2.0637678471806,5,27649,921210,4
"2493",2,-3.37642840014629,-2.11815216902981,5,27649,921210,4
"2494",3,-3.40371786443152,-2.15731336615599,5,27649,921210,4
"2495",4,-3.4244130643669,-2.1847544050959,5,27649,921210,4
"2496",5,-3.44038156834999,-2.20357424541742,5,27649,921210,4
"2497",0,-3.3117093268543,-2.02876086097694,4,27649,921210,3
"2498",1,-3.36029824027014,-2.10386032790722,4,27649,921210,3
"2499",2,-3.39633818953932,-2.15917158179629,4,27649,921210,3
"2500",3,-3.42330156361644,-2.19854986178438,4,27649,921210,3
"2501",4,-3.44375227740199,-2.22559139425924,4,27649,921210,3
"2502",5,-3.45954274841374,-2.24347440231855,4,27649,921210,3
"2503",0,-3.33604446955139,-2.07090841447335,3,27649,921210,2
"2504",1,-3.38449550717775,-2.14854231389239,3,27649,921210,2
"2505",2,-3.42050556215581,-2.20554448729842,3,27649,921210,2
"2506",3,-3.44754760330564,-2.24592183081458,3,27649,921210,2
"2507",4,-3.46816584977632,-2.27334460429168,3,27649,921210,2
"2508",5,-3.48418801199438,-2.29103607551582,3,27649,921210,2
"2509",0,-3.45947175662701,-2.13555456329792,2,27649,921210,6
"2510",1,-3.50862830954786,-2.22441531117092,2,27649,921210,6
"2511",2,-3.54596130262998,-2.29335196278895,2,27649,921210,6
"2512",3,-3.57489832907431,-2.34609957021922,2,27649,921210,6
"2513",4,-3.59785088805943,-2.38592574054912,2,27649,921210,6
"2514",5,-3.61649179596718,-2.41562448635154,2,27649,921210,6
"2515",0,-3.5063682188817,-1.99021713715101,1,27649,921210,1
"2516",1,-3.55492090496173,-2.0676289182434,1,27649,921210,1
"2517",2,-3.59195277471913,-2.13069352884618,1,27649,921210,1
"2518",3,-3.62084064430216,-2.18293414377235,1,27649,921210,1
"2519",4,-3.6439351142476,-2.22702277883362,1,27649,921210,1
"2520",5,-3.66283937605119,-2.26495250771263,1,27649,921210,1
"2521",0,-3.07088500661636,-2.12524747430522,6,803022,150823,NA
"2522",1,-3.12982505353538,-2.20996147942893,6,803022,150823,NA
"2523",2,-3.17513581931006,-2.2754782074216,6,803022,150823,NA
"2524",3,-3.21043882577701,-2.32540470130512,6,803022,150823,NA
"2525",4,-3.23843687032872,-2.36314972346847,6,803022,150823,NA
"2526",5,-3.26109687179849,-2.39172545704471,6,803022,150823,NA
"2527",0,-3.08288912317244,-2.13778006273932,5,803022,150823,4
"2528",1,-3.14159848790102,-2.22439090089616,5,803022,150823,4
"2529",2,-3.1867175924833,-2.290895549726,5,803022,150823,4
"2530",3,-3.22187141674646,-2.34107567426106,5,803022,150823,4
"2531",4,-3.24975786214268,-2.3784420734973,5,803022,150823,4
"2532",5,-3.27233644123906,-2.40608011965347,5,803022,150823,4
"2533",0,-3.09446287725503,-2.1336546064231,4,803022,150823,5
"2534",1,-3.15299685957772,-2.21928838362589,4,803022,150823,5
"2535",2,-3.1979927952815,-2.28415060791284,4,803022,150823,5
"2536",3,-3.23307683956065,-2.3322035900326,4,803022,150823,5
"2537",4,-3.2609386022145,-2.3670926675242,4,803022,150823,5
"2538",5,-3.28352633881103,-2.39201533148795,4,803022,150823,5
"2539",0,-3.06159768402342,-2.06843496274015,3,803022,150823,1
"2540",1,-3.11591491016161,-2.15260147247525,3,803022,150823,1
"2541",2,-3.15761876150416,-2.21617685307549,3,803022,150823,1
"2542",3,-3.19024279403617,-2.26308085508176,3,803022,150823,1
"2543",4,-3.21632379086996,-2.29684992071375,3,803022,150823,1
"2544",5,-3.23765594856364,-2.32056180723858,3,803022,150823,1
"2545",0,-3.01094808288425,-2.08153482505181,2,803022,150823,3
"2546",1,-3.06050958940224,-2.16607563945559,2,803022,150823,3
"2547",2,-3.09830690100742,-2.22968166718771,2,803022,150823,3
"2548",3,-3.12775238483365,-2.27628826873145,2,803022,150823,3
"2549",4,-3.15123971044937,-2.30942141176075,2,803022,150823,3
"2550",5,-3.1704256567356,-2.33215222233928,2,803022,150823,3
"2551",0,-3.03360775321933,-1.9553144397094,1,803022,150823,6
"2552",1,-3.082613892688,-2.03361935596748,1,803022,150823,6
"2553",2,-3.120022295448,-2.09730560490284,1,803022,150823,6
"2554",3,-3.14921729963837,-2.14990615999157,1,803022,150823,6
"2555",4,-3.17256377325537,-2.19411826922907,1,803022,150823,6
"2556",5,-3.19168044646871,-2.23197430711254,1,803022,150823,6
"2557",0,-2.35852262605118,-1.67523844476105,6,650269,815420,NA
